epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,4275.12,0.63282,1.14399,3.99458,0.99627,0,0.98724,0.98567,0.99396,0.85223,0.98724,0.98567,0.99396,0.91524,0.66346,0.36288,2.12837,0.89597,0,0.000946048,0.000946048,0.000946048
29,4427.25,0.63283,1.14771,3.97857,1.00138,0,0.96289,0.95422,0.97667,0.84185,0.96289,0.95422,0.97667,0.89866,0.64357,0.337,2.40593,0.89065,0,0.000942059,0.000942059,0.000942059
30,4579.18,0.62598,1.14082,3.98596,0.99886,0,0.97472,0.9948,0.99383,0.77487,0.97472,0.9948,0.99383,0.86618,0.93915,0.32719,2.56549,1.0143,0,0.000937937,0.000937937,0.000937937
31,4731.35,0.62615,1.12665,3.95234,0.99289,0,0.99086,0.98394,0.9917,0.89015,0.99086,0.98394,0.9917,0.9102,0.48979,0.3293,1.90736,0.84831,0,0.000933683,0.000933683,0.000933683
32,4883.69,0.62782,1.12149,3.96967,0.99025,0,0.97882,0.98494,0.99186,0.86923,0.97882,0.98494,0.99186,0.91188,0.56124,0.32554,2.03689,0.86258,0,0.000929298,0.000929298,0.000929298
33,5035.36,0.62585,1.12566,3.91997,0.99314,0,0.97288,0.98048,0.99313,0.77344,0.97288,0.98048,0.99313,0.9048,0.95805,0.35594,2.59943,1.02985,0,0.000924784,0.000924784,0.000924784
34,5187.75,0.62046,1.1162,3.80556,0.99503,0,0.96325,0.99167,0.99279,0.88255,0.96325,0.99167,0.99279,0.91221,0.5757,0.31005,1.96795,0.86822,0,0.000920142,0.000920142,0.000920142
35,5339.88,0.61691,1.0935,3.80479,0.99322,0,0.96431,0.99167,0.9924,0.81939,0.96431,0.99167,0.9924,0.89899,0.79781,0.32115,2.32158,0.94927,0,0.000915374,0.000915374,0.000915374
36,5492.21,0.60898,1.09461,3.79245,0.9849,0,0.98586,0.989,0.99117,0.86817,0.98586,0.989,0.99117,0.90612,0.6021,0.3036,1.94906,0.87757,0,0.00091048,0.00091048,0.00091048
37,5643.99,0.6068,1.07998,3.77335,0.98398,0,0.98696,0.99233,0.99462,0.89144,0.98696,0.99233,0.99462,0.92118,0.53042,0.30307,1.83726,0.85551,0,0.000905463,0.000905463,0.000905463
38,5796.01,0.60256,1.05754,3.70627,0.98378,0,0.98721,0.98487,0.99308,0.88011,0.98721,0.98487,0.99308,0.91998,0.53353,0.32706,1.86267,0.85811,0,0.000900325,0.000900325,0.000900325
39,5948.23,0.60614,1.08943,3.79398,0.9924,0,0.9932,0.98898,0.99425,0.87928,0.9932,0.98898,0.99425,0.92284,0.53747,0.349,1.7891,0.86239,0,0.000895065,0.000895065,0.000895065
40,6100.65,0.60412,1.068,3.70897,0.99211,0,0.97515,0.98966,0.99026,0.81763,0.97515,0.98966,0.99026,0.89923,0.74718,0.33704,2.1828,0.92535,0,0.000889687,0.000889687,0.000889687
41,6253.34,0.58884,1.04683,3.61188,0.98128,0,0.98701,0.99226,0.99424,0.90255,0.98701,0.99226,0.99424,0.91301,0.46539,0.29879,1.77154,0.83849,0,0.000884192,0.000884192,0.000884192
42,6405.95,0.59206,1.04309,3.60094,0.97618,0,0.98863,0.99379,0.99065,0.89623,0.98863,0.99379,0.99065,0.93261,0.49186,0.33112,1.75273,0.84244,0,0.000878581,0.000878581,0.000878581
43,6560.6,0.60288,1.08439,3.67329,0.98219,0,0.99106,0.98355,0.99431,0.89138,0.99106,0.98355,0.99431,0.91375,0.54754,0.29063,1.80685,0.86028,0,0.000872857,0.000872857,0.000872857
44,6716.36,0.59,1.0616,3.61664,0.98176,0,0.99387,0.99167,0.99318,0.91266,0.99387,0.99167,0.99318,0.91244,0.45012,0.28162,1.67778,0.83419,0,0.00086702,0.00086702,0.00086702
45,6869.03,0.58922,1.04157,3.4995,0.97612,0,0.99504,0.99583,0.99467,0.90665,0.99504,0.99583,0.99467,0.93051,0.49447,0.3376,1.6909,0.84266,0,0.000861073,0.000861073,0.000861073
46,7023.13,0.58505,1.04036,3.55238,0.97403,0,0.99508,0.99501,0.99223,0.87513,0.99508,0.99501,0.99223,0.92835,0.59064,0.35951,1.82728,0.86854,0,0.000855018,0.000855018,0.000855018
47,7176.55,0.58211,1.03132,3.47288,0.97375,0,0.99567,0.99461,0.99482,0.87177,0.99567,0.99461,0.99482,0.92961,0.62213,0.32795,1.8277,0.87829,0,0.000848856,0.000848856,0.000848856
48,7329.17,0.59008,1.04994,3.51941,0.97997,0,0.98336,0.99167,0.99029,0.88966,0.98336,0.99167,0.99029,0.92195,0.52415,0.3226,1.78034,0.85183,0,0.000842589,0.000842589,0.000842589
49,7481.46,0.57724,1.01925,3.44698,0.96857,0,0.97351,0.98917,0.99055,0.92285,0.97351,0.98917,0.99055,0.91951,0.41325,0.29212,1.68171,0.82717,0,0.00083622,0.00083622,0.00083622
50,7633.62,0.57564,1.02205,3.46946,0.96899,0,0.99048,0.99271,0.99333,0.90624,0.99048,0.99271,0.99333,0.92835,0.46963,0.29657,1.64839,0.83906,0,0.000829749,0.000829749,0.000829749
51,7785.95,0.57144,1.0199,3.43012,0.97003,0,0.97699,0.9955,0.99447,0.90583,0.97699,0.9955,0.99447,0.93802,0.46164,0.32183,1.64557,0.83598,0,0.00082318,0.00082318,0.00082318
52,7938.85,0.57623,1.01994,3.41478,0.96767,0,0.99109,0.99583,0.99484,0.92446,0.99109,0.99583,0.99484,0.92132,0.43261,0.29007,1.56849,0.83056,0,0.000816514,0.000816514,0.000816514
53,8091.64,0.57716,1.01554,3.41879,0.9731,0,0.98566,0.99525,0.99371,0.8888,0.98566,0.99525,0.99371,0.92723,0.55687,0.31581,1.74626,0.85897,0,0.000809752,0.000809752,0.000809752
54,8243.91,0.57023,1.00369,3.36763,0.96454,0,0.99689,0.99167,0.9948,0.91153,0.99689,0.99167,0.9948,0.92647,0.45468,0.29621,1.615,0.83549,0,0.000802898,0.000802898,0.000802898
55,8395.98,0.56839,0.9926,3.33255,0.97185,0,0.99633,0.99242,0.99441,0.9086,0.99633,0.99242,0.99441,0.92762,0.47307,0.30427,1.6008,0.84057,0,0.000795954,0.000795954,0.000795954
56,8548.06,0.56833,1.00639,3.35876,0.97322,0,0.99548,0.99583,0.99489,0.911,0.99548,0.99583,0.99489,0.93306,0.46782,0.34082,1.5556,0.84161,0,0.00078892,0.00078892,0.00078892
57,8701.04,0.57143,1.00863,3.37555,0.97456,0,0.99613,0.99604,0.995,0.91541,0.99613,0.99604,0.995,0.92691,0.4514,0.3384,1.55169,0.83519,0,0.0007818,0.0007818,0.0007818
58,8853.65,0.55874,0.98913,3.27363,0.96988,0,0.99312,0.99583,0.99482,0.90053,0.99312,0.99583,0.99482,0.93318,0.48135,0.30913,1.61527,0.84123,0,0.000774596,0.000774596,0.000774596
59,9006.33,0.55891,0.98923,3.27109,0.96507,0,0.99586,0.99583,0.99368,0.90713,0.99586,0.99583,0.99368,0.93331,0.48102,0.30963,1.59967,0.83732,0,0.00076731,0.00076731,0.00076731
60,9158.94,0.56491,0.98478,3.31078,0.96619,0,0.99283,0.98364,0.99454,0.88629,0.99283,0.98364,0.99454,0.93757,0.55316,0.34841,1.73112,0.85762,0,0.000759944,0.000759944,0.000759944
61,9311.67,0.55717,0.98655,3.2631,0.96544,0,0.98638,0.99583,0.99423,0.91002,0.98638,0.99583,0.99423,0.9347,0.46814,0.3502,1.57012,0.83621,0,0.0007525,0.0007525,0.0007525
62,9463.88,0.5578,0.98603,3.28214,0.96657,0,0.99232,0.99167,0.99454,0.90057,0.99232,0.99167,0.99454,0.93432,0.50546,0.36417,1.65092,0.8459,0,0.000744981,0.000744981,0.000744981
63,9615.97,0.55142,0.97247,3.22879,0.96087,0,0.99437,0.9891,0.99459,0.91027,0.99437,0.9891,0.99459,0.9333,0.46721,0.3087,1.54192,0.83572,0,0.000737388,0.000737388,0.000737388
64,9768.04,0.55058,1.00889,3.25038,0.96379,0,0.98102,0.99397,0.9901,0.9186,0.98102,0.99397,0.9901,0.92257,0.4306,0.31568,1.58839,0.82881,0,0.000729725,0.000729725,0.000729725
65,9920.54,0.55096,0.98344,3.2086,0.95624,0,0.9951,0.99237,0.99444,0.92933,0.9951,0.99237,0.99444,0.92672,0.41971,0.3054,1.47666,0.82571,0,0.000721994,0.000721994,0.000721994
66,10073,0.54306,0.97019,3.19617,0.95649,0,0.99082,0.99543,0.99025,0.90786,0.99082,0.99543,0.99025,0.92369,0.46144,0.2993,1.54609,0.83404,0,0.000714196,0.000714196,0.000714196
67,10225.4,0.54344,0.9542,3.20341,0.95658,0,0.99566,0.99226,0.9943,0.90675,0.99566,0.99226,0.9943,0.93272,0.46762,0.31805,1.52417,0.83554,0,0.000706335,0.000706335,0.000706335
68,10377.5,0.55232,0.95908,3.202,0.95991,0,0.99615,0.99219,0.99484,0.90439,0.99615,0.99219,0.99484,0.93819,0.4748,0.32443,1.55037,0.83605,0,0.000698412,0.000698412,0.000698412
69,10529.7,0.54363,0.96966,3.11626,0.96324,0,0.99626,0.99583,0.99482,0.92609,0.99626,0.99583,0.99482,0.93375,0.4306,0.31067,1.44871,0.82839,0,0.00069043,0.00069043,0.00069043
70,10681.8,0.54153,0.96202,3.0805,0.9605,0,0.992,0.99496,0.99477,0.91979,0.992,0.99496,0.99477,0.93641,0.43944,0.31689,1.4863,0.83024,0,0.000682392,0.000682392,0.000682392
71,10833.9,0.53911,0.94209,3.14104,0.96176,0,0.99244,0.99111,0.99472,0.91572,0.99244,0.99111,0.99472,0.93382,0.44533,0.32694,1.49764,0.83,0,0.0006743,0.0006743,0.0006743
