                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5463,                 1.1441,                 1.1183,                0.66738,                0.74074,                0.77044,                0.33375,                 1.5026,                 1.3199,                  1.085,               0.001388,               0.001388,               0.001388
                     36,                 1.5256,                 1.1725,                 1.1199,                0.73847,                0.75926,                0.84142,                0.42784,                 1.4767,                 1.1994,                 1.0965,                0.00137,                0.00137,                0.00137
                     37,                 1.5189,                  1.136,                    1.1,                0.79084,                0.77028,                0.85926,                0.39184,                 1.4715,                 1.2354,                 1.0845,               0.001352,               0.001352,               0.001352
                     38,                 1.5254,                 1.1524,                 1.0977,                0.86366,                0.82126,                0.89605,                0.41511,                 1.5252,                 1.2975,                  1.099,               0.001334,               0.001334,               0.001334
                     39,                 1.5117,                 1.1558,                 1.1078,                0.78094,                0.74074,                0.77987,                 0.3565,                 1.5955,                  1.321,                 1.1791,               0.001316,               0.001316,               0.001316
                     40,                 1.5413,                 1.1721,                 1.1008,                 0.7252,                 0.7037,                0.79981,                0.43742,                 1.4252,                 1.2035,                  1.071,               0.001298,               0.001298,               0.001298
                     41,                 1.5039,                 1.1352,                 1.0953,                 0.8093,                0.86454,                0.89282,                0.47361,                 1.4133,                 1.1305,                 1.0852,                0.00128,                0.00128,                0.00128
                     42,                 1.4959,                 1.1166,                 1.0955,                0.80209,                0.81481,                0.85602,                0.43522,                 1.4636,                 1.1665,                 1.1051,               0.001262,               0.001262,               0.001262
                     43,                 1.4862,                 1.1072,                 1.0891,                0.69549,                0.85185,                0.83467,                0.43354,                 1.4167,                  1.123,                 1.0695,               0.001244,               0.001244,               0.001244
                     44,                 1.4932,                 1.0883,                 1.0811,                0.90972,                0.72222,                0.84006,                0.41695,                 1.4159,                 1.1678,                 1.0637,               0.001226,               0.001226,               0.001226
                     45,                 1.4918,                 1.1082,                 1.0868,                0.89981,                0.83165,                0.93781,                0.44002,                 1.5842,                 1.0813,                 1.1329,               0.001208,               0.001208,               0.001208
                     46,                 1.4441,                 1.1199,                 1.0912,                0.77419,                0.85185,                0.85129,                 0.4556,                 1.3375,                 1.1391,                 1.0611,                0.00119,                0.00119,                0.00119
                     47,                  1.455,                 1.0963,                 1.0801,                0.78792,                0.87037,                0.85868,                0.44015,                 1.5179,                 1.1686,                 1.1183,               0.001172,               0.001172,               0.001172
                     48,                  1.485,                 1.0799,                 1.0735,                0.81083,                0.88889,                0.89523,                0.48509,                  1.428,                 1.0749,                 1.1282,               0.001154,               0.001154,               0.001154
                     49,                 1.4808,                 1.0771,                 1.0896,                0.88759,                0.88889,                0.90545,                0.48528,                 1.4266,                 1.0254,                 1.0822,               0.001136,               0.001136,               0.001136
                     50,                 1.4767,                 1.0667,                 1.0729,                0.84404,                0.85185,                0.89049,                0.43495,                 1.4207,                 1.0945,                 1.0681,               0.001118,               0.001118,               0.001118
                     51,                 1.5459,                 1.1343,                 1.1069,                0.88196,                0.92593,                0.91759,                0.44649,                  1.529,                 1.1098,                 1.1402,                 0.0011,                 0.0011,                 0.0011
                     52,                 1.4616,                 1.0587,                  1.086,                0.63973,                0.85498,                0.78698,                0.39464,                 1.4404,                  1.171,                 1.0955,               0.001082,               0.001082,               0.001082
                     53,                 1.4978,                 1.0677,                 1.0937,                0.73751,                0.88889,                0.88713,                0.49334,                 1.4095,                 1.0385,                 1.0662,               0.001064,               0.001064,               0.001064
                     54,                 1.4668,                 1.0611,                 1.0763,                0.79621,                0.86828,                0.90025,                0.47368,                  1.444,                  1.085,                 1.0991,               0.001046,               0.001046,               0.001046
                     55,                 1.4463,                 1.0458,                 1.0564,                0.77448,                0.88889,                0.86556,                0.47746,                 1.3994,                 1.1336,                  1.054,               0.001028,               0.001028,               0.001028
                     56,                 1.4243,                 1.0319,                 1.0572,                0.66674,                0.87037,                0.80226,                0.42163,                 1.3851,                  1.198,                 1.0609,                0.00101,                0.00101,                0.00101
                     57,                 1.4705,                 1.0569,                 1.0663,                0.80223,                0.82637,                0.87515,                0.48082,                 1.4868,                 1.1476,                 1.0811,               0.000992,               0.000992,               0.000992
                     58,                 1.4499,                 1.0374,                 1.0714,                0.84251,                0.89167,                0.91028,                0.51719,                 1.4076,                 1.1007,                 1.0603,               0.000974,               0.000974,               0.000974
                     59,                 1.4492,                 1.0683,                 1.0717,                0.77685,                0.85185,                0.87046,                0.48623,                 1.4753,                 1.1223,                 1.0972,               0.000956,               0.000956,               0.000956
                     60,                 1.4745,                 1.0196,                 1.0737,                0.75337,                0.84855,                0.83296,                0.45022,                 1.4721,                 1.0772,                 1.0616,               0.000938,               0.000938,               0.000938
                     61,                 1.4623,                 1.0282,                 1.0772,                0.82398,                0.81481,                0.88923,                0.40769,                 1.6175,                 1.1975,                 1.1372,                0.00092,                0.00092,                0.00092
                     62,                 1.4406,                 1.0223,                 1.0666,                0.70336,                0.88889,                0.83614,                0.47464,                 1.4126,                  1.153,                 1.0526,               0.000902,               0.000902,               0.000902
                     63,                 1.4762,                 1.0179,                 1.0627,                0.83179,                0.82424,                0.91248,                0.49502,                 1.4496,                 1.1227,                 1.0496,               0.000884,               0.000884,               0.000884
                     64,                 1.4197,                 1.0232,                 1.0608,                0.80988,                0.81481,                 0.8962,                0.50628,                 1.4151,                 1.0826,                 1.0615,               0.000866,               0.000866,               0.000866
                     65,                 1.4477,                 1.0213,                 1.0749,                0.84518,                0.87037,                0.89252,                0.56543,                  1.313,                 1.0208,                 1.0555,               0.000848,               0.000848,               0.000848
                     66,                 1.4551,                  1.012,                 1.0541,                0.84468,                0.87037,                0.90906,                 0.5463,                 1.3446,                 1.0404,                 1.0433,                0.00083,                0.00083,                0.00083
                     67,                 1.4272,                0.97609,                 1.0583,                0.78444,                0.74128,                0.83534,                0.46088,                 1.4161,                 1.1504,                 1.0757,               0.000812,               0.000812,               0.000812
                     68,                 1.4821,                 1.0364,                 1.0467,                0.79155,                0.84391,                0.87641,                0.49737,                 1.3779,                 1.0495,                 1.0803,               0.000794,               0.000794,               0.000794
                     69,                 1.3929,                0.97787,                 1.0481,                0.85103,                0.84641,                 0.8954,                0.53094,                 1.4081,                  1.043,                 1.0704,               0.000776,               0.000776,               0.000776
                     70,                 1.3831,                0.97504,                 1.0401,                0.87959,                0.83333,                0.88843,                0.52577,                 1.3693,                 1.0142,                 1.0763,               0.000758,               0.000758,               0.000758
                     71,                 1.3898,                0.97087,                 1.0483,                0.85364,                0.90741,                0.87252,                0.53144,                 1.3861,                 1.0216,                 1.0573,                0.00074,                0.00074,                0.00074
                     72,                  1.384,                0.99302,                 1.0512,                0.87485,                0.77673,                0.85855,                 0.5085,                 1.4896,                 1.0423,                 1.1035,               0.000722,               0.000722,               0.000722
