                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.49531,                 1.0345,                 0.9991,                0.94053,                0.96624,                0.98962,                0.81372,                0.54257,                 1.4412,                 1.0283,             0.00074347,             0.00074347,             0.00074347
                     36,                0.51363,                 1.0475,                0.98806,                0.86813,                0.96046,                0.97323,                0.79285,                0.54345,                 1.3698,                 1.0213,             0.00072973,             0.00072973,             0.00072973
                     37,                0.49061,                 1.0014,                0.99953,                0.95243,                0.96085,                0.98939,                0.80885,                0.51354,                 1.5167,                 1.0179,             0.00071576,             0.00071576,             0.00071576
                     38,                 0.4733,                0.96919,                0.98139,                0.93635,                0.96231,                0.99079,                 0.8044,                0.51709,                 1.4708,                 1.0092,             0.00070159,             0.00070159,             0.00070159
                     39,                0.48339,                0.98954,                0.99731,                0.97083,                0.99031,                0.98814,                0.79538,                0.54149,                 1.2741,                 1.0206,             0.00068722,             0.00068722,             0.00068722
                     40,                0.49414,                 1.0199,                 1.0064,                0.92494,                0.94662,                0.98906,                0.80113,                0.54015,                 1.6754,                 1.0276,             0.00067268,             0.00067268,             0.00067268
                     41,                0.47391,                 1.0111,                0.97686,                0.88762,                0.96069,                0.96495,                0.75918,                 0.6687,                 1.4944,                 1.0777,             0.00065796,             0.00065796,             0.00065796
                     42,                0.48084,                 1.0163,                0.99115,                0.94979,                0.97308,                0.98283,                0.79487,                0.50662,                 1.4912,                 1.0067,              0.0006431,              0.0006431,              0.0006431
                     43,                0.47449,                0.95239,                0.98867,                0.97526,                0.98198,                0.99328,                0.76583,                0.62134,                 1.2948,                 1.0931,              0.0006281,              0.0006281,              0.0006281
                     44,                 0.4748,                0.97014,                0.99403,                0.97289,                 0.9896,                0.99367,                 0.7988,                 0.5276,                 1.3825,                 1.0152,             0.00061298,             0.00061298,             0.00061298
                     45,                0.46579,                0.95232,                0.98132,                0.87952,                0.95214,                0.93264,                 0.7512,                0.51679,                 1.4665,                 1.0128,             0.00059775,             0.00059775,             0.00059775
                     46,                0.45902,                0.94945,                0.97488,                0.94867,                 0.9631,                0.99052,                0.81461,                0.49965,                 1.3242,                 0.9844,             0.00058244,             0.00058244,             0.00058244
                     47,                0.46453,                0.95961,                 0.9825,                0.87155,                0.93987,                0.97161,                0.79373,                 0.5444,                 1.3368,                 1.0088,             0.00056704,             0.00056704,             0.00056704
